,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
0,3363 CREEK VALLEY DR,"3363 CREEK VALLEY DR Cobb County, GA",2020-12-21,"$335,000.00",335000,1455,230.2405498281787,"https://www.google.com/maps/search/3363%20CREEK%20VALLEY%20DR%20Cobb%20County,%20GA",33.8718661,-84.5441899
1,3901 HOLLANDER DWNS,"3901 HOLLANDER DWNS Cobb County, GA",2020-12-21,"$450,000.00",450000,3425,131.38686131386862,"https://www.google.com/maps/search/3901%20HOLLANDER%20DWNS%20Cobb%20County,%20GA",34.0552511,-84.4900768
2,169 LAKESIDE DR NW,"169 LAKESIDE DR NW Cobb County, GA",2020-12-21,"$385,000.00",385000,2601,148.01999231064974,"https://www.google.com/maps/search/169%20LAKESIDE%20DR%20NW%20Cobb%20County,%20GA",34.0387926,-84.5574749
3,625 AUNT LUCY LN SUITE/UNIT 13/8,"625 AUNT LUCY LN SUITE/UNIT 13/8 Cobb County, GA",2020-12-21,"$330,000.00",330000,1915,172.3237597911227,"https://www.google.com/maps/search/625%20AUNT%20LUCY%20LN%20SUITE/UNIT%2013/8%20Cobb%20County,%20GA",33.8582637,-84.5729918
4,2567 TWIN OAKS DR SW,"2567 TWIN OAKS DR SW Cobb County, GA",2020-12-21,"$250,000.00",250000,1352,184.9112426035503,"https://www.google.com/maps/search/2567%20TWIN%20OAKS%20DR%20SW%20Cobb%20County,%20GA",33.9441834,-84.6277797
5,440 BOTTESFORD DR,"440 BOTTESFORD DR Cobb County, GA",2020-12-21,"$275,000.00",275000,1926,142.7829698857736,"https://www.google.com/maps/search/440%20BOTTESFORD%20DR%20Cobb%20County,%20GA",34.0567842,-84.5586825
6,2955 HEATHER LAKE DR,"2955 HEATHER LAKE DR Cobb County, GA",2020-12-21,"$220,500.00",220500,1914,115.2037617554859,"https://www.google.com/maps/search/2955%20HEATHER%20LAKE%20DR%20Cobb%20County,%20GA",33.8451643,-84.6382455
7,4184 MEADOW WAY,"4184 MEADOW WAY Cobb County, GA",2020-12-21,"$319,000.00",319000,2144,148.78731343283582,"https://www.google.com/maps/search/4184%20MEADOW%20WAY%20Cobb%20County,%20GA",34.0516347,-84.5144066
8,2186 CHARTWELL DR,"2186 CHARTWELL DR Cobb County, GA",2020-12-21,"$329,900.00",329900,2192,150.50182481751824,"https://www.google.com/maps/search/2186%20CHARTWELL%20DR%20Cobb%20County,%20GA",34.0350307,-84.487044
9,4688 NORMAN DR NW,"4688 NORMAN DR NW Cobb County, GA",2020-12-21,"$299,000.00",299000,1672,178.82775119617224,"https://www.google.com/maps/search/4688%20NORMAN%20DR%20NW%20Cobb%20County,%20GA",34.0550852,-84.5693245
10,827 HICKORY DR,"827 HICKORY DR Cobb County, GA",2020-12-21,"$395,000.00",395000,2018,195.73835480673932,"https://www.google.com/maps/search/827%20HICKORY%20DR%20Cobb%20County,%20GA",33.9324187,-84.5694064
11,1235 HERTY DR,"1235 HERTY DR Cobb County, GA",2020-12-21,"$344,000.00",344000,2152,159.85130111524165,"https://www.google.com/maps/search/1235%20HERTY%20DR%20Cobb%20County,%20GA",33.9810228,-84.5191049
12,3109 EBENEZER RD,"3109 EBENEZER RD Cobb County, GA",2020-12-21,"$255,000.00",255000,1860,137.09677419354838,"https://www.google.com/maps/search/3109%20EBENEZER%20RD%20Cobb%20County,%20GA",34.0264574,-84.4913062
13,5401 HEDGE BROOKE CV,"5401 HEDGE BROOKE CV Cobb County, GA",2020-12-21,"$390,000.00",390000,2861,136.3159734358616,"https://www.google.com/maps/search/5401%20HEDGE%20BROOKE%20CV%20Cobb%20County,%20GA",34.0059917,-84.7045119
