,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
0,2369 WAKITA DR,"2369 WAKITA DR Cobb County, GA",2021-11-02,"$272,100.00",272100,1559,174.5349583066068,"https://www.google.com/maps/search/2369%20WAKITA%20DR%20Cobb%20County,%20GA",33.8956677,-84.5473221
1,3435 CALEY MILL LN,"3435 CALEY MILL LN Cobb County, GA",2021-11-02,"$275,500.00",275500,1380,199.63768115942028,"https://www.google.com/maps/search/3435%20CALEY%20MILL%20LN%20Cobb%20County,%20GA",33.8729373,-84.6480963
2,736 OLDE TOWNE LN,"736 OLDE TOWNE LN Cobb County, GA",2021-11-02,"$225,000.00",225000,1573,143.03877940241577,"https://www.google.com/maps/search/736%20OLDE%20TOWNE%20LN%20Cobb%20County,%20GA",33.9695325,-84.4074911
3,3597 WESTMINSTER WAY,"3597 WESTMINSTER WAY Cobb County, GA",2021-11-02,"$155,000.00",155000,1851,83.73851971907077,"https://www.google.com/maps/search/3597%20WESTMINSTER%20WAY%20Cobb%20County,%20GA",34.0400814,-84.5361232
4,5541 WIND RIVER LN,"5541 WIND RIVER LN Cobb County, GA",2021-11-02,"$315,100.00",315100,2373,132.78550358196375,"https://www.google.com/maps/search/5541%20WIND%20RIVER%20LN%20Cobb%20County,%20GA",33.8098801,-84.7187194
5,2578 MIDDLE CORAY CIR NE,"2578 MIDDLE CORAY CIR NE Cobb County, GA",2021-11-02,"$1,335,506.00",1335506,3285,406.5467275494673,"https://www.google.com/maps/search/2578%20MIDDLE%20CORAY%20CIR%20NE%20Cobb%20County,%20GA",34.0473521,-84.4749727
6,2114 LINE TREE LN,"2114 LINE TREE LN Cobb County, GA",2021-11-03,"$390,500.00",390500,2380,164.07563025210084,"https://www.google.com/maps/search/2114%20LINE%20TREE%20LN%20Cobb%20County,%20GA",33.9007693,-84.6946711
7,2946 COTTESFORD WAY,"2946 COTTESFORD WAY Cobb County, GA",2021-11-03,"$442,600.00",442600,2095,211.26491646778044,"https://www.google.com/maps/search/2946%20COTTESFORD%20WAY%20Cobb%20County,%20GA",33.8934799,-84.5033946
8,1394 LAVERTE CIR,"1394 LAVERTE CIR Cobb County, GA",2021-11-03,"$230,000.00",230000,1062,216.57250470809797,"https://www.google.com/maps/search/1394%20LAVERTE%20CIR%20Cobb%20County,%20GA",33.8201199,-84.5950073
9,719 DENMEAD ML,"719 DENMEAD ML Cobb County, GA",2021-11-03,"$900,000.00",900000,3239,277.8635381290522,"https://www.google.com/maps/search/719%20DENMEAD%20ML%20Cobb%20County,%20GA",33.9280475,-84.4473366
10,485 MONTEIGN CT,"485 MONTEIGN CT Cobb County, GA",2021-11-03,"$355,100.00",355100,2166,163.9427516158818,"https://www.google.com/maps/search/485%20MONTEIGN%20CT%20Cobb%20County,%20GA",33.9164318,-84.5634717
11,3044 WALLACE CIR,"3044 WALLACE CIR Cobb County, GA",2021-11-03,"$1,637,000.00",1637000,5577,293.52698583467816,"https://www.google.com/maps/search/3044%20WALLACE%20CIR%20Cobb%20County,%20GA",33.8642915,-84.4687208
12,2808 BEVERLY HILLS DR,"2808 BEVERLY HILLS DR Cobb County, GA",2021-11-03,"$630,000.00",630000,2239,281.3756141134435,"https://www.google.com/maps/search/2808%20BEVERLY%20HILLS%20DR%20Cobb%20County,%20GA",33.9574333,-84.4716726
13,2483 TRENT DR,"2483 TRENT DR Cobb County, GA",2021-11-03,"$425,000.00",425000,2040,208.33333333333331,"https://www.google.com/maps/search/2483%20TRENT%20DR%20Cobb%20County,%20GA",34.0103804,-84.504419
14,613 GORDON COMBS RD,"613 GORDON COMBS RD Cobb County, GA",2021-11-03,"$544,900.00",544900,2025,269.08641975308643,"https://www.google.com/maps/search/613%20GORDON%20COMBS%20RD%20Cobb%20County,%20GA",33.9687292,-84.6344641
15,4409 CALEB XING,"4409 CALEB XING Cobb County, GA",2021-11-03,"$289,000.00",289000,1706,169.4021101992966,"https://www.google.com/maps/search/4409%20CALEB%20XING%20Cobb%20County,%20GA",33.8457086,-84.6933069
