,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
0,2251 KNOXHILL VW,"2251 KNOXHILL VW Cobb County, GA",2022-10-28,"$405,000.00",405000,2088,193.9655172413793,"https://www.google.com/maps/search/2251%20KNOXHILL%20VW%20Cobb%20County,%20GA",33.8260545,-84.4923707
1,2529 OAKBOURNE LN,"2529 OAKBOURNE LN Cobb County, GA",2022-10-28,"$491,979.00",491979,1895,259.61952506596305,"https://www.google.com/maps/search/2529%20OAKBOURNE%20LN%20Cobb%20County,%20GA",33.8856044,-84.4807368
2,1657 PINEFIELD RD,"1657 PINEFIELD RD Cobb County, GA",2022-10-28,"$435,000.00",435000,2697,161.29032258064515,"https://www.google.com/maps/search/1657%20PINEFIELD%20RD%20Cobb%20County,%20GA",34.0739633,-84.501182
3,755 BONNIE DELL DR,"755 BONNIE DELL DR Cobb County, GA",2022-10-28,"$280,000.00",280000,960,291.6666666666667,"https://www.google.com/maps/search/755%20BONNIE%20DELL%20DR%20Cobb%20County,%20GA",33.9675065,-84.5173649
4,2769 NORTHWOOD CT,"2769 NORTHWOOD CT Cobb County, GA",2022-10-28,"$185,000.00",185000,1344,137.64880952380952,"https://www.google.com/maps/search/2769%20NORTHWOOD%20CT%20Cobb%20County,%20GA",33.8849846,-84.5580904
5,4933 COLCHESTER CT UNIT/BLDG 36/7,"4933 COLCHESTER CT UNIT/BLDG 36/7 Cobb County, GA",2022-10-28,"$445,000.00",445000,1872,237.7136752136752,"https://www.google.com/maps/search/4933%20COLCHESTER%20CT%20UNIT/BLDG%2036/7%20Cobb%20County,%20GA",error,error
6,4612 N LANDING DR,"4612 N LANDING DR Cobb County, GA",2022-10-28,"$360,000.00",360000,1623,221.81146025878004,"https://www.google.com/maps/search/4612%20N%20LANDING%20DR%20Cobb%20County,%20GA",34.0650735,-84.4940449
7,2531 HIDDEN HILLS DR,"2531 HIDDEN HILLS DR Cobb County, GA",2022-10-28,"$405,000.00",405000,1896,213.6075949367089,"https://www.google.com/maps/search/2531%20HIDDEN%20HILLS%20DR%20Cobb%20County,%20GA",34.0133779,-84.5347309
8,2490 LAKEWOOD DR NW,"2490 LAKEWOOD DR NW Cobb County, GA",2022-10-28,"$265,000.00",265000,1050,252.3809523809524,"https://www.google.com/maps/search/2490%20LAKEWOOD%20DR%20NW%20Cobb%20County,%20GA",34.0139577,-84.6238545
9,1730 TISBURY DR,"1730 TISBURY DR Cobb County, GA",2022-10-28,"$470,000.00",470000,2610,180.07662835249042,"https://www.google.com/maps/search/1730%20TISBURY%20DR%20Cobb%20County,%20GA",33.9951367,-84.6481781
10,615 BRAIDWOOD DR,"615 BRAIDWOOD DR Cobb County, GA",2022-10-28,"$535,000.00",535000,2671,200.2995132909023,"https://www.google.com/maps/search/615%20BRAIDWOOD%20DR%20Cobb%20County,%20GA",33.9726771,-84.7335764
11,2861 CARNEGIE WAY,"2861 CARNEGIE WAY Cobb County, GA",2022-10-28,"$380,000.00",380000,2370,160.33755274261603,"https://www.google.com/maps/search/2861%20CARNEGIE%20WAY%20Cobb%20County,%20GA",33.9088129,-84.6385725
12,2630 HEREFORD CT,"2630 HEREFORD CT Cobb County, GA",2022-10-28,"$360,000.00",360000,1492,241.28686327077747,"https://www.google.com/maps/search/2630%20HEREFORD%20CT%20Cobb%20County,%20GA",33.8879035,-84.594571
