,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
15408,5748 FAIRWOOD DR,"5748 FAIRWOOD DR Cobb County, GA",2018-01-04,"$288,000.00",288000,2886,99.79209979209979
15409,752 WEXFORD COVE WAY,"752 WEXFORD COVE WAY Cobb County, GA",2018-01-04,"$293,030.00",293030,2084,140.60940499040308
15410,213 LAURA LAKE RD,"213 LAURA LAKE RD Cobb County, GA",2018-01-04,"$239,000.00",239000,2859,83.59566281916754
15416,941 BRENTWOOD DR SE,"941 BRENTWOOD DR SE Cobb County, GA",2018-01-04,"$255,000.00",255000,1456,175.13736263736263
15415,4001 VILLA LAKE RD,"4001 VILLA LAKE RD Cobb County, GA",2018-01-04,"$226,921.00",226921,2870,79.06655052264809
15414,6080 HOLLY PARK LN,"6080 HOLLY PARK LN Cobb County, GA",2018-01-04,"$289,900.00",289900,2100,138.04761904761904
15412,3134 SHIRLEY DR,"3134 SHIRLEY DR Cobb County, GA",2018-01-04,"$137,500.00",137500,1176,116.921768707483
15413,1784 FARMLAND DR,"1784 FARMLAND DR Cobb County, GA",2018-01-04,"$539,900.00",539900,3803,141.9668682618985
14132,1908 SHENANDOAH VALLEY LN,"1908 SHENANDOAH VALLEY LN Cobb County, GA",2018-01-05,"$86,000.00",86000,1008,85.31746031746032
14131,2005 IVY RIDGE RD,"2005 IVY RIDGE RD Cobb County, GA",2018-01-05,"$488,000.00",488000,3270,149.23547400611622
14108,1906 SHENANDOAH VALLEY LN,"1906 SHENANDOAH VALLEY LN Cobb County, GA",2018-01-05,"$98,000.00",98000,1008,97.22222222222223
14070,3171 SHAW RD,"3171 SHAW RD Cobb County, GA",2018-01-05,"$228,000.00",228000,1760,129.54545454545453
14043,5143 OLIVE BRANCH CIR,"5143 OLIVE BRANCH CIR Cobb County, GA",2018-01-05,"$287,300.00",287300,3074,93.46128822381262
13869,52 PIONEER TRL NE,"52 PIONEER TRL NE Cobb County, GA",2018-01-05,"$285,000.00",285000,1258,226.55007949125596
