,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
46815,2369 WAKITA DR,"2369 WAKITA DR Cobb County, GA",2021-11-02,"$272,100.00",272100,1559,174.5349583066068
46816,3435 CALEY MILL LN,"3435 CALEY MILL LN Cobb County, GA",2021-11-02,"$275,500.00",275500,1380,199.63768115942028
46817,736 OLDE TOWNE LN,"736 OLDE TOWNE LN Cobb County, GA",2021-11-02,"$225,000.00",225000,1573,143.03877940241577
46818,3597 WESTMINSTER WAY,"3597 WESTMINSTER WAY Cobb County, GA",2021-11-02,"$155,000.00",155000,1851,83.73851971907077
46812,5541 WIND RIVER LN,"5541 WIND RIVER LN Cobb County, GA",2021-11-02,"$315,100.00",315100,2373,132.78550358196375
46796,2578 MIDDLE CORAY CIR NE,"2578 MIDDLE CORAY CIR NE Cobb County, GA",2021-11-02,"$1,335,506.00",1335506,3285,406.5467275494673
46764,2114 LINE TREE LN,"2114 LINE TREE LN Cobb County, GA",2021-11-03,"$390,500.00",390500,2380,164.07563025210084
46232,2946 COTTESFORD WAY,"2946 COTTESFORD WAY Cobb County, GA",2021-11-03,"$442,600.00",442600,2095,211.26491646778044
46759,1394 LAVERTE CIR,"1394 LAVERTE CIR Cobb County, GA",2021-11-03,"$230,000.00",230000,1062,216.57250470809794
46762,719 DENMEAD ML,"719 DENMEAD ML Cobb County, GA",2021-11-03,"$900,000.00",900000,3239,277.8635381290522
46761,485 MONTEIGN CT,"485 MONTEIGN CT Cobb County, GA",2021-11-03,"$355,100.00",355100,2166,163.9427516158818
46763,3044 WALLACE CIR,"3044 WALLACE CIR Cobb County, GA",2021-11-03,"$1,637,000.00",1637000,5577,293.52698583467816
46760,2808 BEVERLY HILLS DR,"2808 BEVERLY HILLS DR Cobb County, GA",2021-11-03,"$630,000.00",630000,2239,281.3756141134435
46766,2483 TRENT DR,"2483 TRENT DR Cobb County, GA",2021-11-03,"$425,000.00",425000,2040,208.33333333333334
46767,613 GORDON COMBS RD,"613 GORDON COMBS RD Cobb County, GA",2021-11-03,"$544,900.00",544900,2025,269.08641975308643
46794,4409 CALEB XING,"4409 CALEB XING Cobb County, GA",2021-11-03,"$289,000.00",289000,1706,169.4021101992966
46793,6210 BRAIDWOOD WAY,"6210 BRAIDWOOD WAY Cobb County, GA",2021-11-03,"$489,000.00",489000,2940,166.3265306122449
46792,5245 MOON RD,"5245 MOON RD Cobb County, GA",2021-11-03,"$375,000.00",375000,2951,127.07556760420196
46791,1064 BRACKETT RD NE,"1064 BRACKETT RD NE Cobb County, GA",2021-11-03,"$355,000.00",355000,1437,247.04244954766875
46790,3085 SUSAN CT,"3085 SUSAN CT Cobb County, GA",2021-11-03,"$365,000.00",365000,1596,228.6967418546366
46789,310 PARK RIDGE CIR,"310 PARK RIDGE CIR Cobb County, GA",2021-11-03,"$178,000.00",178000,1043,170.6615532118888
46787,2158 SERENITY DR,"2158 SERENITY DR Cobb County, GA",2021-11-03,"$313,000.00",313000,1524,205.38057742782152
46785,2860 STRATHMOOR RD,"2860 STRATHMOOR RD Cobb County, GA",2021-11-03,"$349,000.00",349000,1442,242.0249653259362
46784,2666 DAVENPORT ST,"2666 DAVENPORT ST Cobb County, GA",2021-11-03,"$439,500.00",439500,1512,290.6746031746032
46783,426 PLANTATION RD,"426 PLANTATION RD Cobb County, GA",2021-11-03,"$474,000.00",474000,1479,320.4868154158215
46782,2917 MISSY DR,"2917 MISSY DR Cobb County, GA",2021-11-03,"$355,000.00",355000,1670,212.5748502994012
46781,1254 ANGELIA DR,"1254 ANGELIA DR Cobb County, GA",2021-11-03,"$220,000.00",220000,1503,146.37391882900866
46780,3303 FIELDWOOD DR,"3303 FIELDWOOD DR Cobb County, GA",2021-11-03,"$538,000.00",538000,2832,189.97175141242937
46779,3327 AVIARY TRCE,"3327 AVIARY TRCE Cobb County, GA",2021-11-03,"$725,000.00",725000,3835,189.04823989569752
46778,2585 BANKSTONE DR,"2585 BANKSTONE DR Cobb County, GA",2021-11-03,"$230,000.00",230000,1304,176.38036809815952
46777,1511 GORDON BOW LN,"1511 GORDON BOW LN Cobb County, GA",2021-11-03,"$351,300.00",351300,2600,135.1153846153846
46776,4179 WESTCHESTER XING,"4179 WESTCHESTER XING Cobb County, GA",2021-11-03,"$486,000.00",486000,2030,239.40886699507388
46775,1878 BEAVER DAM LN,"1878 BEAVER DAM LN Cobb County, GA",2021-11-03,"$465,000.00",465000,1761,264.05451448040884
46774,3034 BALEARIC DR,"3034 BALEARIC DR Cobb County, GA",2021-11-03,"$275,000.00",275000,1747,157.41270749856898
