,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
11407,2251 KNOXHILL VW,"2251 KNOXHILL VW Cobb County, GA",2022-10-28,"$405,000.00",405000,2088,193.9655172413793
11408,2529 OAKBOURNE LN,"2529 OAKBOURNE LN Cobb County, GA",2022-10-28,"$491,979.00",491979,1895,259.61952506596305
11421,1657 PINEFIELD RD,"1657 PINEFIELD RD Cobb County, GA",2022-10-28,"$435,000.00",435000,2697,161.29032258064515
11410,755 BONNIE DELL DR,"755 BONNIE DELL DR Cobb County, GA",2022-10-28,"$280,000.00",280000,960,291.6666666666667
11411,2769 NORTHWOOD CT,"2769 NORTHWOOD CT Cobb County, GA",2022-10-28,"$185,000.00",185000,1344,137.64880952380952
11409,4933 COLCHESTER CT UNIT/BLDG 36/7,"4933 COLCHESTER CT UNIT/BLDG 36/7 Cobb County, GA",2022-10-28,"$445,000.00",445000,1872,237.7136752136752
11413,4612 N LANDING DR,"4612 N LANDING DR Cobb County, GA",2022-10-28,"$360,000.00",360000,1623,221.81146025878004
11414,2531 HIDDEN HILLS DR,"2531 HIDDEN HILLS DR Cobb County, GA",2022-10-28,"$405,000.00",405000,1896,213.60759493670886
11415,2490 LAKEWOOD DR NW,"2490 LAKEWOOD DR NW Cobb County, GA",2022-10-28,"$265,000.00",265000,1050,252.38095238095238
11416,1730 TISBURY DR,"1730 TISBURY DR Cobb County, GA",2022-10-28,"$470,000.00",470000,2610,180.07662835249042
11417,615 BRAIDWOOD DR,"615 BRAIDWOOD DR Cobb County, GA",2022-10-28,"$535,000.00",535000,2671,200.2995132909023
11418,2861 CARNEGIE WAY,"2861 CARNEGIE WAY Cobb County, GA",2022-10-28,"$380,000.00",380000,2370,160.33755274261603
11419,2630 HEREFORD CT,"2630 HEREFORD CT Cobb County, GA",2022-10-28,"$360,000.00",360000,1492,241.28686327077747
11412,4893 ARBORVITAE CT,"4893 ARBORVITAE CT Cobb County, GA",2022-10-28,"$1,522,335.00",1522335,4740,321.1677215189873
11317,230 HURT DR SE,"230 HURT DR SE Cobb County, GA",2022-10-31,"$340,000.00",340000,1111,306.030603060306
11318,2474 HORSESHOE BEND RD,"2474 HORSESHOE BEND RD Cobb County, GA",2022-10-31,"$365,000.00",365000,1637,222.96884544899206
11320,507 MULBERRY CT,"507 MULBERRY CT Cobb County, GA",2022-10-31,"$399,500.00",399500,1878,212.7263045793397
11322,445 SCOTT FARM DR,"445 SCOTT FARM DR Cobb County, GA",2022-10-31,"$710,000.00",710000,3542,200.45172219085262
11316,711 MARAN LN,"711 MARAN LN Cobb County, GA",2022-10-31,"$296,000.00",296000,1253,236.23304070231444
11337,71 GERALDINE DR,"71 GERALDINE DR Cobb County, GA",2022-10-31,"$460,000.00",460000,3008,152.9255319148936
11321,2122 SHILLINGWOOD DR,"2122 SHILLINGWOOD DR Cobb County, GA",2022-10-31,"$310,000.00",310000,1476,210.02710027100272
11323,2871 RIDGECREST CIR,"2871 RIDGECREST CIR Cobb County, GA",2022-10-31,"$220,000.00",220000,1080,203.7037037037037
11333,4714 LINCOLN DR,"4714 LINCOLN DR Cobb County, GA",2022-10-31,"$261,000.00",261000,1050,248.57142857142858
11325,4300 FAIRGREEN DR,"4300 FAIRGREEN DR Cobb County, GA",2022-10-31,"$2,212,500.00",2212500,5702,388.02174675552436
