,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf
17115,3363 CREEK VALLEY DR,"3363 CREEK VALLEY DR Cobb County, GA",2020-12-21,"$335,000.00",335000,1455,230.2405498281787
17096,3901 HOLLANDER DWNS,"3901 HOLLANDER DWNS Cobb County, GA",2020-12-21,"$450,000.00",450000,3425,131.38686131386862
17113,169 LAKESIDE DR NW,"169 LAKESIDE DR NW Cobb County, GA",2020-12-21,"$385,000.00",385000,2601,148.01999231064974
17114,625 AUNT LUCY LN SUITE/UNIT 13/8,"625 AUNT LUCY LN SUITE/UNIT 13/8 Cobb County, GA",2020-12-21,"$330,000.00",330000,1915,172.3237597911227
17061,2567 TWIN OAKS DR SW,"2567 TWIN OAKS DR SW Cobb County, GA",2020-12-21,"$250,000.00",250000,1352,184.9112426035503
17101,440 BOTTESFORD DR,"440 BOTTESFORD DR Cobb County, GA",2020-12-21,"$275,000.00",275000,1926,142.7829698857736
17098,2955 HEATHER LAKE DR,"2955 HEATHER LAKE DR Cobb County, GA",2020-12-21,"$220,500.00",220500,1914,115.2037617554859
17102,4184 MEADOW WAY,"4184 MEADOW WAY Cobb County, GA",2020-12-21,"$319,000.00",319000,2144,148.78731343283582
17103,2186 CHARTWELL DR,"2186 CHARTWELL DR Cobb County, GA",2020-12-21,"$329,900.00",329900,2192,150.50182481751824
17112,4688 NORMAN DR NW,"4688 NORMAN DR NW Cobb County, GA",2020-12-21,"$299,000.00",299000,1672,178.82775119617224
17100,827 HICKORY DR,"827 HICKORY DR Cobb County, GA",2020-12-21,"$395,000.00",395000,2018,195.73835480673935
17104,1235 HERTY DR,"1235 HERTY DR Cobb County, GA",2020-12-21,"$344,000.00",344000,2152,159.85130111524163
17106,3109 EBENEZER RD,"3109 EBENEZER RD Cobb County, GA",2020-12-21,"$255,000.00",255000,1860,137.09677419354838
17107,5401 HEDGE BROOKE CV,"5401 HEDGE BROOKE CV Cobb County, GA",2020-12-21,"$390,000.00",390000,2861,136.3159734358616
17108,2854 COLLETON DR,"2854 COLLETON DR Cobb County, GA",2020-12-21,"$289,900.00",289900,2090,138.70813397129186
17109,7049 IVY POINTE ROW,"7049 IVY POINTE ROW Cobb County, GA",2020-12-21,"$210,000.00",210000,2032,103.34645669291339
17110,2038 DRENNON AVE,"2038 DRENNON AVE Cobb County, GA",2020-12-21,"$50,000.00",50000,1078,46.3821892393321
17111,4815 HIRAM LITHIA SPRINGS RD,"4815 HIRAM LITHIA SPRINGS RD Cobb County, GA",2020-12-21,"$277,000.00",277000,2240,123.66071428571429
17105,1413 RIDGEBEND WAY,"1413 RIDGEBEND WAY Cobb County, GA",2020-12-21,"$293,415.00",293415,1846,158.94637053087757
17099,1567 RIBBON MILL SW,"1567 RIBBON MILL SW Cobb County, GA",2020-12-21,"$332,040.00",332040,2820,117.74468085106383
16228,5141 ST CLAIRE PL,"5141 ST CLAIRE PL Cobb County, GA",2020-12-22,"$262,400.00",262400,2063,127.1934076587494
16194,4834 SHALLOW CREEK DR,"4834 SHALLOW CREEK DR Cobb County, GA",2020-12-22,"$262,000.00",262000,2362,110.9229466553768
